experiment protein  msmsID intensity sample group
2 SimulatedProtein73 SimulatedProtein73.Peptide4  6.63081378699 TRT3.2 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide4  6.02797710887 TRT3.3 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide5  11.869178963 CTL.3 CTL
2 SimulatedProtein73 SimulatedProtein73.Peptide5  11.1121396523 TRT1.3 TRT1
2 SimulatedProtein73 SimulatedProtein73.Peptide5  10.729451634 TRT2.3 TRT2
2 SimulatedProtein73 SimulatedProtein73.Peptide5  12.4873422362 TRT3.1 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide5  11.6223391557 TRT3.2 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide5  12.212200594 TRT3.3 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide6  11.8960530451 CTL.3 CTL
2 SimulatedProtein73 SimulatedProtein73.Peptide6  12.1046435507 TRT1.3 TRT1
2 SimulatedProtein73 SimulatedProtein73.Peptide6  10.9771970244 TRT2.3 TRT2
2 SimulatedProtein73 SimulatedProtein73.Peptide6  12.7125189285 TRT3.1 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide6  12.1656417285 TRT3.2 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide6  12.5280156979 TRT3.3 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide7  11.7306664214 CTL.3 CTL
2 SimulatedProtein73 SimulatedProtein73.Peptide7  11.9809797596 TRT1.3 TRT1
2 SimulatedProtein73 SimulatedProtein73.Peptide7  11.3716583198 TRT2.3 TRT2
2 SimulatedProtein73 SimulatedProtein73.Peptide7  12.0844689921 TRT3.1 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide7  11.8194414676 TRT3.2 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide7  11.5407591034 TRT3.3 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide8  12.0642983281 CTL.3 CTL
2 SimulatedProtein73 SimulatedProtein73.Peptide8  11.8678561734 TRT1.3 TRT1
2 SimulatedProtein73 SimulatedProtein73.Peptide8  11.2171478111 TRT2.3 TRT2
2 SimulatedProtein73 SimulatedProtein73.Peptide8  12.6267915661 TRT3.1 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide8  12.4518138344 TRT3.2 TRT3
2 SimulatedProtein73 SimulatedProtein73.Peptide8  12.2606072079 TRT3.3 TRT3
2 SimulatedProtein74 SimulatedProtein74.Peptide1  10.5491149229 CTL.3 CTL
2 SimulatedProtein74 SimulatedProtein74.Peptide1  9.993642058 TRT1.3 TRT1
2 SimulatedProtein74 SimulatedProtein74.Peptide1  11.8656382574 TRT2.3 TRT2
2 SimulatedProtein74 SimulatedProtein74.Peptide1  10.5823412877 TRT3.1 TRT3
2 SimulatedProtein74 SimulatedProtein74.Peptide1  10.9071283252 TRT3.2 TRT3
2 SimulatedProtein74 SimulatedProtein74.Peptide1  10.781171695 TRT3.3 TRT3
2 SimulatedProtein74 SimulatedProtein74.Peptide2  7.51783002938 CTL.3 CTL
2 SimulatedProtein74 SimulatedProtein74.Peptide2  7.42719338443 TRT1.3 TRT1
2 SimulatedProtein74 SimulatedProtein74.Peptide2  9.20196460585 TRT2.3 TRT2
2 SimulatedProtein74 SimulatedProtein74.Peptide2  7.51255575306 TRT3.1 TRT3
2 SimulatedProtein74 SimulatedProtein74.Peptide2  6.77047159361 TRT3.2 TRT3
2 SimulatedProtein74 SimulatedProtein74.Peptide2  7.26903324506 TRT3.3 TRT3
2 SimulatedProtein74 SimulatedProtein74.Peptide3  12.6179918302 CTL.3 CTL
2 SimulatedProtein74 SimulatedProtein74.Peptide3  11.9002620059 TRT1.3 TRT1
2 SimulatedProtein74 SimulatedProtein74.Peptide3  13.850959311 TRT2.3 TRT2
2 SimulatedProtein74 SimulatedProtein74.Peptide3  12.7915264239 TRT3.1 TRT3
2 SimulatedProtein74 SimulatedProtein74.Peptide3  12.4536747957 TRT3.2 TRT3
2 SimulatedProtein74 SimulatedProtein74.Peptide3  11.8947164742 TRT3.3 TRT3
2 SimulatedProtein75 SimulatedProtein75.Peptide1  9.37350258434 CTL.3 CTL
2 SimulatedProtein75 SimulatedProtein75.Peptide1  8.76790795776 TRT1.3 TRT1
2 SimulatedProtein75 SimulatedProtein75.Peptide1  8.44949503492 TRT2.3 TRT2
2 SimulatedProtein75 SimulatedProtein75.Peptide1  9.1899918109 TRT3.1 TRT3
2 SimulatedProtein75 SimulatedProtein75.Peptide1  9.22933755319 TRT3.2 TRT3
2 SimulatedProtein75 SimulatedProtein75.Peptide1  8.68131485808 TRT3.3 TRT3
2 SimulatedProtein75 SimulatedProtein75.Peptide2  8.7131834733 CTL.3 CTL
2 SimulatedProtein75 SimulatedProtein75.Peptide2  8.16007104582 TRT1.3 TRT1
2 SimulatedProtein75 SimulatedProtein75.Peptide2  8.63306524765 TRT2.3 TRT2
2 SimulatedProtein75 SimulatedProtein75.Peptide2  9.06642230305 TRT3.1 TRT3
2 SimulatedProtein75 SimulatedProtein75.Peptide2  8.83261352394 TRT3.2 TRT3
2 SimulatedProtein75 SimulatedProtein75.Peptide2  8.70431005203 TRT3.3 TRT3
2 SimulatedProtein75 SimulatedProtein75.Peptide3  8.1505091823 CTL.3 CTL
2 SimulatedProtein75 SimulatedProtein75.Peptide3  8.15483663748 TRT1.3 TRT1
2 SimulatedProtein75 SimulatedProtein75.Peptide3  8.68123504583 TRT2.3 TRT2
2 SimulatedProtein75 SimulatedProtein75.Peptide3  9.2595095784 TRT3.1 TRT3
2 SimulatedProtein75 SimulatedProtein75.Peptide3  8.75637441434 TRT3.2 TRT3
2 SimulatedProtein75 SimulatedProtein75.Peptide3  8.89005273211 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide1  11.6948493055 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide1  11.6784786819 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide1  12.6678276389 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide1  12.4623152325 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide1  11.9746670933 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide1  12.4653543905 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide2  12.8094393024 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide2  12.9242555125 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide2  14.2092429164 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide2  14.2106476895 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide2  13.6976933659 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide2  13.7734608617 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide3  6.98467481286 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide3  6.93054405199 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide3  8.05561999788 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide3  8.34833539661 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide3  7.80644937273 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide3  7.67304502927 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide4  11.7477698675 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide4  11.2180378687 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide4  12.1162447 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide4  11.8911548423 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide4  11.9795680554 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide4  11.8524168493 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide5  9.19232202534 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide5  8.78861609839 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide5  10.3002632897 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide5  9.88214216978 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide5  9.67104542396 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide5  10.2357384112 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide6  10.5148499862 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide6  10.139494708 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide6  10.9340673174 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide6  11.39462734 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide6  10.5758695776 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide6  10.7876035645 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide7  13.8388312841 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide7  13.4262241511 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide7  15.0389004024 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide7  14.099983111 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide7  14.1903381717 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide7  13.7808975544 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide8  12.9239048524 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide8  13.2836207066 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide8  13.9675862505 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide8  14.4023150885 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide8  14.1846964617 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide8  13.6828864926 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide9  9.91079283822 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide9  10.1216092526 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide9  10.999007008 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide9  11.2786995983 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide9  10.771799061 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide9  11.2243908036 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide10  9.97606734517 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide10  9.77108254413 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide10  11.4817385153 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide10  10.8647252343 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide10  10.2641480171 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide10  10.2501573458 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide11  12.9232474329 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide11  12.9081143614 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide11  14.0250322287 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide11  13.6420984362 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide11  13.5362455786 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide11  13.673361513 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide12  7.10313881258 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide12  6.60539025756 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide12  6.99201744276 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide12  7.21836442208 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide12  7.27290966707 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide12  6.8045047781 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide13  5.97501732859 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide13  5.59287203013 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide13  7.04649981901 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide13  7.16756910973 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide13  6.39435145988 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide13  6.87735874481 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide14  7.05675343963 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide14  7.47937462939 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide14  8.73831767689 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide14  8.68312616622 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide14  8.34022901503 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide14  7.67121548653 TRT3.3 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide15  6.43499320415 CTL.3 CTL
2 SimulatedProtein76 SimulatedProtein76.Peptide15  6.32109384292 TRT1.3 TRT1
2 SimulatedProtein76 SimulatedProtein76.Peptide15  7.60970087326 TRT2.3 TRT2
2 SimulatedProtein76 SimulatedProtein76.Peptide15  7.31841363755 TRT3.1 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide15  7.20370593846 TRT3.2 TRT3
2 SimulatedProtein76 SimulatedProtein76.Peptide15  6.76630773203 TRT3.3 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide1  7.01898821976 CTL.3 CTL
2 SimulatedProtein77 SimulatedProtein77.Peptide1  6.67676331049 TRT1.3 TRT1
2 SimulatedProtein77 SimulatedProtein77.Peptide1  7.20831541137 TRT2.3 TRT2
2 SimulatedProtein77 SimulatedProtein77.Peptide1  7.2498653136 TRT3.1 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide1  6.76933572641 TRT3.2 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide1  7.36583808613 TRT3.3 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide2  10.4160311144 CTL.3 CTL
2 SimulatedProtein77 SimulatedProtein77.Peptide2  10.5922515436 TRT1.3 TRT1
2 SimulatedProtein77 SimulatedProtein77.Peptide2  10.6918647094 TRT2.3 TRT2
2 SimulatedProtein77 SimulatedProtein77.Peptide2  10.7612552425 TRT3.1 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide2  10.2784722026 TRT3.2 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide2  10.2753451363 TRT3.3 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide3  9.3284787463 CTL.3 CTL
2 SimulatedProtein77 SimulatedProtein77.Peptide3  9.11991896855 TRT1.3 TRT1
2 SimulatedProtein77 SimulatedProtein77.Peptide3  9.50162120828 TRT2.3 TRT2
2 SimulatedProtein77 SimulatedProtein77.Peptide3  10.06164366769 TRT3.1 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide3  9.89414010104 TRT3.2 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide3  9.12895832582 TRT3.3 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide4  5.24898176902 CTL.3 CTL
2 SimulatedProtein77 SimulatedProtein77.Peptide4  5.74762942078 TRT1.3 TRT1
2 SimulatedProtein77 SimulatedProtein77.Peptide4  5.24994589557 TRT2.3 TRT2
2 SimulatedProtein77 SimulatedProtein77.Peptide4  5.22896571055 TRT3.1 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide4  4.99520168032 TRT3.2 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide4  5.71298885338 TRT3.3 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide5  12.5278038955 CTL.3 CTL
2 SimulatedProtein77 SimulatedProtein77.Peptide5  12.8834931529 TRT1.3 TRT1
2 SimulatedProtein77 SimulatedProtein77.Peptide5  12.8813063427 TRT2.3 TRT2
2 SimulatedProtein77 SimulatedProtein77.Peptide5  12.9370956944 TRT3.1 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide5  11.9966058034 TRT3.2 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide5  12.5613915705 TRT3.3 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide6  17.9819493386 CTL.3 CTL
2 SimulatedProtein77 SimulatedProtein77.Peptide6  17.6704664516 TRT1.3 TRT1
2 SimulatedProtein77 SimulatedProtein77.Peptide6  17.8229186952 TRT2.3 TRT2
2 SimulatedProtein77 SimulatedProtein77.Peptide6  18.2260711802 TRT3.1 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide6  18.1728813053 TRT3.2 TRT3
2 SimulatedProtein77 SimulatedProtein77.Peptide6  17.9922912712 TRT3.3 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide1  14.3724214585 CTL.3 CTL
2 SimulatedProtein78 SimulatedProtein78.Peptide1  14.3278210391 TRT1.3 TRT1
2 SimulatedProtein78 SimulatedProtein78.Peptide1  14.0520136685 TRT2.3 TRT2
2 SimulatedProtein78 SimulatedProtein78.Peptide1  13.8139659825 TRT3.1 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide1  13.8620067231 TRT3.2 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide1  14.4021429647 TRT3.3 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide2  13.608278572 CTL.3 CTL
2 SimulatedProtein78 SimulatedProtein78.Peptide2  13.7124377126 TRT1.3 TRT1
2 SimulatedProtein78 SimulatedProtein78.Peptide2  13.6915603488 TRT2.3 TRT2
2 SimulatedProtein78 SimulatedProtein78.Peptide2  14.2747008753 TRT3.1 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide2  13.6551931846 TRT3.2 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide2  14.4906123026 TRT3.3 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide3  11.741487316 CTL.3 CTL
2 SimulatedProtein78 SimulatedProtein78.Peptide3  11.6544381413 TRT1.3 TRT1
2 SimulatedProtein78 SimulatedProtein78.Peptide3  12.2281766391 TRT2.3 TRT2
2 SimulatedProtein78 SimulatedProtein78.Peptide3  11.9360720901 TRT3.1 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide3  11.6734275834 TRT3.2 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide3  11.8987943437 TRT3.3 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide4  13.6818338993 CTL.3 CTL
2 SimulatedProtein78 SimulatedProtein78.Peptide4  13.1185863529 TRT1.3 TRT1
2 SimulatedProtein78 SimulatedProtein78.Peptide4  12.9852730073 TRT2.3 TRT2
2 SimulatedProtein78 SimulatedProtein78.Peptide4  13.2259266316 TRT3.1 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide4  13.1820786749 TRT3.2 TRT3
2 SimulatedProtein78 SimulatedProtein78.Peptide4  13.5091310134 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide1  1.89570234282 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide1  2.43663725779 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide1  1.8670961642 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide1  2.603566811 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide1  3.0240554944 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide1  3.13129408876 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide2  9.37702462405 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide2  9.17877990924 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide2  9.40738251043 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide2  9.99849237505 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide2  10.2447050222 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide2  10.9112071877 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide3  13.8321000803 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide3  13.5294467673 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide3  14.3317662931 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide3  15.2378620341 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide3  13.8043031891 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide3  15.2107364147 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide4  6.01246357223 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide4  5.823492271 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide4  6.19531682683 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide4  6.90249706996 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide4  6.92666011779 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide4  6.66203279728 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide5  9.82596334995 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide5  9.31178745991 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide5  9.92654497913 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide5  10.8436890343 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide5  11.2686232916 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide5  11.0380147518 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide6  3.84394563325 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide6  3.64208025476 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide6  3.76412274026 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide6  4.66996436261 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide6  4.03929939951 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide6  4.13468780261 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide7  12.2106022485 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide7  11.5004911951 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide7  11.1063712522 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide7  12.9194320502 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide7  12.9685111114 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide7  12.417897279 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide8  4.39441957793 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide8  4.2587136822 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide8  4.67677826718 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide8  5.20112384442 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide8  5.30781288468 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide8  5.21673668214 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide9  11.6902746036 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide9  11.6200083698 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide9  11.8710949761 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide9  12.9376842451 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide9  12.7323834487 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide9  12.2019514895 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide10  8.87427934117 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide10  8.60494805656 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide10  9.7111590336 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide10  10.5686535233 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide10  9.4015956836 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide10  9.59446325812 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide11  13.3447854009 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide11  13.7539597383 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide11  13.0713621375 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide11  14.4087250423 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide11  14.4294733393 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide11  14.3713417243 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide12  9.61926808344 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide12  9.13358419741 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide12  9.65020336607 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide12  10.0234790814 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide12  10.1507650102 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide12  10.04418439036 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide13  11.7722638007 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide13  11.9427493657 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide13  12.2398054572 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide13  12.8732364511 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide13  13.2313390082 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide13  13.2968136488 TRT3.3 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide14  6.59767803535 CTL.3 CTL
2 SimulatedProtein79 SimulatedProtein79.Peptide14  7.34383019685 TRT1.3 TRT1
2 SimulatedProtein79 SimulatedProtein79.Peptide14  6.80769176647 TRT2.3 TRT2
2 SimulatedProtein79 SimulatedProtein79.Peptide14  7.77075918258 TRT3.1 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide14  7.60001978621 TRT3.2 TRT3
2 SimulatedProtein79 SimulatedProtein79.Peptide14  7.868357457 TRT3.3 TRT3
2 SimulatedProtein80 SimulatedProtein80.Peptide1  13.7893074013 CTL.3 CTL
2 SimulatedProtein80 SimulatedProtein80.Peptide1  14.0570568837 TRT1.3 TRT1
2 SimulatedProtein80 SimulatedProtein80.Peptide1  14.7677914796 TRT2.3 TRT2
2 SimulatedProtein80 SimulatedProtein80.Peptide1  13.939792239 TRT3.1 TRT3
